Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),PGP,Hour_after
mavda,TMPRSS2,ASAP-0000215,4.21,=,1,72
mavda,TMPRSS2,ASAP-0000214,9.98,=,1,72
mavda,TMPRSS2,ASAP-0000214,8.76,=,1,72
mavda,TMPRSS2,ASAP-0000212,14.6,=,1,72
mavda,TMPRSS2,ASAP-0000212,11.8,=,1,72
mavda,TMPRSS2,ASAP-0000211,4.36,=,1,72
mavda,TMPRSS2,ASAP-0000211,4.22,=,1,72
mavda,TMPRSS2,ASAP-0000208,4.43,=,1,72
mavda,TMPRSS2,ASAP-0000208,4.35,=,1,72
mavda,TMPRSS2,ASAP-0000207,4.49,=,1,72
mavda,TMPRSS2,ASAP-0000207,4.41,=,1,72
mavda,TMPRSS2,ASAP-0000205,5.37,=,1,72
mavda,TMPRSS2,ASAP-0000205,5.51,=,1,72
mavda,TMPRSS2,ASAP-0000171,7.31,=,1,72
mavda,TMPRSS2,ASAP-0000171,6.65,=,1,72
mavda,TMPRSS2,ASAP-0000170,5.86,=,1,72
mavda,TMPRSS2,ASAP-0000170,5.77,=,1,72
mavda,TMPRSS2,ASAP-0000169,4.34,=,1,72
mavda,TMPRSS2,ASAP-0000169,4.31,=,1,72
mavda,TMPRSS2,ASAP-0000168,4.22,=,1,72
mavda,TMPRSS2,ASAP-0000168,4.42,=,1,72
mavda,TMPRSS2,ASAP-0000167,4.22,=,1,72
mavda,TMPRSS2,ASAP-0000167,4.3,=,1,72
mavda,TMPRSS2,ASAP-0000165,36,>,1,72
mavda,TMPRSS2,ASAP-0000165,36,>,1,72
mavda,TMPRSS2,ASAP-0000164,4.02,=,1,72
mavda,TMPRSS2,ASAP-0000164,2.96,=,1,72
mavda,TMPRSS2,ASAP-0000163,17.2,=,1,72
mavda,TMPRSS2,ASAP-0000163,12.3,=,1,72
mavda,TMPRSS2,ASAP-0000161,3.38,=,1,72
mavda,TMPRSS2,ASAP-0000161,3.7,=,1,72
mavda,TMPRSS2,ASAP-0000160,5.66,=,1,72
mavda,TMPRSS2,ASAP-0000160,5.32,=,1,72
mavda,TMPRSS2,ASAP-0000159,4.42,=,1,72
mavda,TMPRSS2,ASAP-0000159,4.26,=,1,72
mavda,TMPRSS2,ASAP-0000158,4.46,=,1,72
mavda,TMPRSS2,ASAP-0000158,4.36,=,1,72
mavda,TMPRSS2,ASAP-0000157,3.18,=,1,72
mavda,TMPRSS2,ASAP-0000157,1.57,=,1,72
mavda,TMPRSS2,ASAP-0000156,3.86,=,1,72
mavda,TMPRSS2,ASAP-0000156,3.93,=,1,72
mavda,TMPRSS2,ASAP-0000155,6.72,=,1,72
mavda,TMPRSS2,ASAP-0000155,6.63,=,1,72
mavda,TMPRSS2,ASAP-0000153,1.08,=,1,72
mavda,TMPRSS2,ASAP-0000153,1.14,=,1,72
mavda,TMPRSS2,ASAP-0000146,36,>,1,72
mavda,TMPRSS2,ASAP-0000146,36,>,1,72
mavda,TMPRSS2,ASAP-0000144,2.51,=,1,72
mavda,TMPRSS2,ASAP-0000144,1.52,=,1,72
