Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),PGP,Hour_after
sinai,TMPRSS2,ASAP-0015385,0.0694,=,1,
sinai,TMPRSS2,ASAP-0015381,5,>,1,
sinai,TMPRSS2,ASAP-0015376,0.292,=,1,
sinai,TMPRSS2,ASAP-0015294,0.527,=,1,
sinai,TMPRSS2,ASAP-0015239,5,>,1,
sinai,TMPRSS2,ASAP-0015239,1.45,=,1,
sinai,TMPRSS2,ASAP-0015229,0.121,=,1,
sinai,TMPRSS2,ASAP-0015227,0.245,=,1,
sinai,TMPRSS2,ASAP-0015227,0.153,=,1,
sinai,TMPRSS2,ASAP-0015108,3.21,=,1,
sinai,TMPRSS2,ASAP-0015108,2.01,=,1,
sinai,TMPRSS2,ASAP-0015105,3.36,=,1,
sinai,TMPRSS2,ASAP-0015102,0.769,=,1,
sinai,TMPRSS2,ASAP-0015102,0.802,=,1,
sinai,TMPRSS2,ASAP-0015099,0.226,=,1,
sinai,TMPRSS2,ASAP-0015099,0.205,=,1,
sinai,TMPRSS2,ASAP-0015096,0.0933,=,1,
sinai,TMPRSS2,ASAP-0015096,0.0931,=,1,
sinai,TMPRSS2,ASAP-0015096,0.375,=,1,
sinai,TMPRSS2,ASAP-0015092,0.0614,=,1,
sinai,TMPRSS2,ASAP-0015092,0.0899,=,1,
sinai,TMPRSS2,ASAP-0015090,0.165,=,1,
sinai,TMPRSS2,ASAP-0015090,0.188,=,1,
sinai,TMPRSS2,ASAP-0015090,0.0768,=,1,
sinai,TMPRSS2,ASAP-0015085,0.202,=,1,
sinai,TMPRSS2,ASAP-0015085,0.559,=,1,
sinai,TMPRSS2,ASAP-0014973,5,>,1,
sinai,TMPRSS2,ASAP-0014970,0.162,=,1,
sinai,TMPRSS2,ASAP-0014970,0.0995,=,1,
sinai,TMPRSS2,ASAP-0014966,2.65,=,1,
sinai,TMPRSS2,ASAP-0014966,1.35,=,1,
sinai,TMPRSS2,ASAP-0014959,0.624,=,1,
sinai,TMPRSS2,ASAP-0014951,0.0787,=,1,
sinai,TMPRSS2,ASAP-0014951,0.0764,=,1,
sinai,TMPRSS2,ASAP-0014943,1.84,=,1,
sinai,TMPRSS2,ASAP-0014943,0.809,=,1,
sinai,TMPRSS2,ASAP-0014931,0.0842,=,1,
sinai,TMPRSS2,ASAP-0014931,0.208,=,1,
sinai,TMPRSS2,ASAP-0014925,0.0188,=,1,
sinai,TMPRSS2,ASAP-0014925,0.0181,=,1,
sinai,TMPRSS2,ASAP-0014925,0.0348,=,1,
sinai,TMPRSS2,ASAP-0014900,0.107,=,1,
sinai,TMPRSS2,ASAP-0014889,5,>,1,
sinai,TMPRSS2,ASAP-0014888,5,>,1,
sinai,TMPRSS2,ASAP-0014888,5,>,1,
sinai,TMPRSS2,ASAP-0014886,0.0276,=,1,
sinai,TMPRSS2,ASAP-0014886,0.117,=,1,
sinai,TMPRSS2,ASAP-0014886,0.0428,=,1,
sinai,TMPRSS2,ASAP-0014800,0.523,=,1,
sinai,TMPRSS2,ASAP-0014800,0.265,=,1,
sinai,TMPRSS2,ASAP-0014797,0.408,=,1,
sinai,TMPRSS2,ASAP-0014797,0.178,=,1,
sinai,TMPRSS2,ASAP-0014794,0.116,=,1,
sinai,TMPRSS2,ASAP-0014794,0.176,=,1,
sinai,TMPRSS2,ASAP-0014786,0.0182,=,1,
sinai,TMPRSS2,ASAP-0014786,0.0171,=,1,
sinai,TMPRSS2,ASAP-0014786,0.0213,=,1,
sinai,TMPRSS2,ASAP-0014776,0.186,=,1,
sinai,TMPRSS2,ASAP-0014776,0.188,=,1,
sinai,TMPRSS2,ASAP-0014773,0.0641,=,1,
sinai,TMPRSS2,ASAP-0014773,0.0923,=,1,
sinai,TMPRSS2,ASAP-0014773,0.179,=,1,
sinai,TMPRSS2,ASAP-0014770,0.252,=,1,
sinai,TMPRSS2,ASAP-0014770,0.203,=,1,
sinai,TMPRSS2,ASAP-0014764,0.273,=,1,
sinai,TMPRSS2,ASAP-0014764,0.222,=,1,
sinai,TMPRSS2,ASAP-0014753,0.0892,=,1,
sinai,TMPRSS2,ASAP-0014753,0.487,=,1,
sinai,TMPRSS2,ASAP-0014750,0.0653,=,1,
sinai,TMPRSS2,ASAP-0014750,0.0273,=,1,
sinai,TMPRSS2,ASAP-0014750,0.0364,=,1,
sinai,TMPRSS2,ASAP-0014722,5,>,1,
sinai,TMPRSS2,ASAP-0014717,0.0344,=,1,
sinai,TMPRSS2,ASAP-0014613,5,>,1,
sinai,TMPRSS2,ASAP-0014551,5,>,1,
sinai,TMPRSS2,ASAP-0014544,1.26,=,1,
sinai,TMPRSS2,ASAP-0014544,5,>,1,
sinai,TMPRSS2,ASAP-0013898,0.479,=,1,
sinai,TMPRSS2,ASAP-0013894,0.38,=,1,
sinai,TMPRSS2,ASAP-0013892,3.84,=,1,
sinai,TMPRSS2,ASAP-0013890,0.1,=,1,
sinai,TMPRSS2,ASAP-0013890,0.302,=,1,
sinai,TMPRSS2,ASAP-0013890,0.0853,=,1,
sinai,TMPRSS2,ASAP-0013722,0.101,=,1,
sinai,TMPRSS2,ASAP-0013722,0.118,=,1,
sinai,TMPRSS2,ASAP-0013414,0.176,=,1,
sinai,TMPRSS2,ASAP-0013414,0.178,=,1,
sinai,TMPRSS2,ASAP-0013413,0.128,=,1,
sinai,TMPRSS2,ASAP-0013413,0.136,=,1,
sinai,TMPRSS2,ASAP-0013412,0.194,=,1,
sinai,TMPRSS2,ASAP-0013398,0.0356,=,1,
sinai,TMPRSS2,ASAP-0013398,0.132,=,1,
sinai,TMPRSS2,ASAP-0013397,0.168,=,1,
sinai,TMPRSS2,ASAP-0013397,0.196,=,1,
sinai,TMPRSS2,ASAP-0013301,0.811,=,1,
sinai,TMPRSS2,ASAP-0013300,1.31,=,1,
sinai,TMPRSS2,ASAP-0013300,0.732,=,1,
sinai,TMPRSS2,ASAP-0013299,0.0689,=,1,
sinai,TMPRSS2,ASAP-0013299,0.0621,=,1,
sinai,TMPRSS2,ASAP-0013299,0.039,=,1,
sinai,TMPRSS2,ASAP-0013299,0.0581,=,1,
sinai,TMPRSS2,ASAP-0013298,0.281,=,1,
sinai,TMPRSS2,ASAP-0013298,0.194,=,1,
sinai,TMPRSS2,ASAP-0013265,0.0399,=,1,
sinai,TMPRSS2,ASAP-0013265,0.24,=,1,
sinai,TMPRSS2,ASAP-0013249,0.375,=,1,
sinai,TMPRSS2,ASAP-0013249,0.269,=,1,
sinai,TMPRSS2,ASAP-0011528,0.5,=,1,
sinai,TMPRSS2,ASAP-0011513,0.0605,=,1,
sinai,TMPRSS2,ASAP-0011513,0.275,=,1,
sinai,TMPRSS2,ASAP-0011446,5,>,1,
sinai,TMPRSS2,ASAP-0011445,0.184,=,1,
sinai,TMPRSS2,ASAP-0011445,0.268,=,1,
sinai,TMPRSS2,ASAP-0011198,5,>,1,
