Molecule Name,MERS-CoV-MPro_fluorescence-dose-response_weizmann: IC50 (uM),MERS-CoV-MPro_fluorescence-dose-response_weizmann: Minh_Protease_MERS_Mpro_pIC50 (calc) (uM)
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016545,0.916,6.59
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016544,8.244,5.75
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016543,,5.18
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016542,2.424,6.03
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016541,2.474,5.86
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016540,1.155,6.37
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016539,0.127,7.29
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016511,2.533,6.16
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016510,0.317,7.21
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016509,0.121,7.3
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016508,9.639,5.69
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
ASAP-0016507,0.121,7.29
