Molecule Name,IC50 (Num),IC50 (Mod),Hill (Num),Minh_pIC50 (Num)
ASAP-0011329,99.5,>,,4.29
ASAP-0011328,99.5,>,,16.4
ASAP-0011325,99.5,>,,4.29
ASAP-0011324,,,,4.59
ASAP-0011322,99.5,>,,4.28
ASAP-0011320,99.5,>,,3.97
ASAP-0011318,99.5,>,,4.74
ASAP-0011315,99.5,>,,4.27
ASAP-0011314,,,,4.64
ASAP-0011312,99.5,>,,4.04
ASAP-0011309,99.5,>,,4.25
ASAP-0011308,99.5,>,,3.84
ASAP-0011306,99.5,>,,4.85
ASAP-0011304,99.5,>,,4.31
ASAP-0011302,99.5,>,,4.29
ASAP-0011300,99.5,>,,4.05
ASAP-0011298,99.5,>,,4.03
ASAP-0011296,99.5,>,,4.29
ASAP-0011294,99.5,>,,4.39
ASAP-0011292,99.5,>,,4.07
ASAP-0011290,,,,4.53
ASAP-0011288,99.5,>,,4.05
ASAP-0011285,,,,5.18
ASAP-0011283,99.5,>,,4.44
ASAP-0011282,99.5,>,,4.3
ASAP-0011280,99.5,>,,4.44
ASAP-0011278,99.5,>,,17
ASAP-0011276,99.5,>,,4.35
ASAP-0011273,99.5,>,,4.24
ASAP-0011272,99.5,>,,4.29
ASAP-0011269,99.5,>,,4.32
ASAP-0011268,99.5,>,,4.05
ASAP-0011266,99.5,>,,4.25
ASAP-0011263,99.5,>,,4.26
ASAP-0011262,,,,4.66
ASAP-0011260,99.5,>,,4
ASAP-0011258,99.5,>,,4.24
ASAP-0011255,99.5,>,,4.26
ASAP-0011254,,,,4.6
ASAP-0011250,99.5,>,,8.62
ASAP-0011246,,,,5.29
ASAP-0011245,99.5,>,,4.04
ASAP-0011241,99.5,>,,4.88
ASAP-0011239,99.5,>,,4.35
ASAP-0011235,,,,4.63
ASAP-0011233,,,,5.28
ASAP-0011232,99.5,>,,3.6
ASAP-0011231,99.5,>,,4.21
ASAP-0011230,99.5,>,,4.24
ASAP-0011229,99.5,>,,4.32
ASAP-0011228,99.5,>,,4.89
ASAP-0011227,99.5,>,,4.3
ASAP-0011226,99.5,>,,4.92
ASAP-0011225,99.5,>,,3.7
ASAP-0011224,99.5,>,,4.28
ASAP-0011223,99.5,>,,4.45
ASAP-0011222,99.5,>,,3.7
ASAP-0011220,99.5,>,,4.33
ASAP-0011218,99.5,>,,3.7
ASAP-0011216,99.5,>,,4.3
ASAP-0011214,99.5,>,,4.31
ASAP-0011212,99.5,>,,3.88
ASAP-0011209,99.5,>,,4.28
ASAP-0011206,99.5,>,,4.27
ASAP-0011202,9.624,=,7.498,5.65
ASAP-0011200,9.012,=,5.511,5.99
ASAP-0011195,99.5,>,,5.21
ASAP-0011194,,,,4.56
ASAP-0011191,99.5,>,,4.03
ASAP-0011187,99.5,>,,4.31
ASAP-0011185,,,,5.71
ASAP-0011181,,,,5.11
ASAP-0011179,99.5,>,,4.31
ASAP-0011175,,,,5.38
ASAP-0011173,,,,4.58
ASAP-0011168,,,,5.11
ASAP-0011165,,,,5.59
ASAP-0011164,,,,5.13
ASAP-0011160,99.5,>,,4.59
ASAP-0011157,99.5,>,,3.56
ASAP-0011155,99.5,>,,4
ASAP-0011151,99.5,>,,4.28
ASAP-0011148,,,,4.61
ASAP-0011145,99.5,>,,5.12
ASAP-0011143,,,,5.64
ASAP-0011143,9.567,=,13.267,5.64
ASAP-0011142,99.5,>,,6.94
ASAP-0011142,,,,6.94
ASAP-0011141,2.598,=,14.328,6.16
ASAP-0011141,2.527,=,4.435,6.16
ASAP-0011140,,,,5.44
ASAP-0011140,14.011,=,2.487,5.44
ASAP-0011139,,,,5.58
ASAP-0011139,16.702,=,3.076,5.58
ASAP-0011138,7.726,=,3.984,5.96
ASAP-0011138,4.743,=,2.804,5.96
ASAP-0011137,1.006,=,2.998,6.79
ASAP-0011137,0.836,=,2.435,6.79
ASAP-0011135,99.5,>,,4.61
ASAP-0011135,,,,4.61
ASAP-0011133,,,,5.12
ASAP-0011133,16.654,=,3.417,5.12
ASAP-0011131,99.5,>,,5.28
ASAP-0011130,54.69,=,1.587,4.45
ASAP-0011129,1.854,=,2.579,6.44
ASAP-0011128,99.5,>,,4.03
ASAP-0011127,7.559,=,2.973,5.88
ASAP-0011126,99.5,>,,4.27
ASAP-0011125,99.5,>,,5.55
ASAP-0011124,0.634,=,2.236,6.8
ASAP-0011067,27.342,=,3,5.24
ASAP-0011065,99.5,>,,4.34
ASAP-0011062,99.5,>,,4.31
ASAP-0011059,6.575,=,2.86,5.96
ASAP-0011056,22.744,=,3.599,5.23
ASAP-0011052,1.41,=,2.694,6.47
ASAP-0011052,1.491,=,3.666,6.47
ASAP-0011049,0.741,=,3.23,6.79
ASAP-0011049,0.944,=,2.619,6.79
ASAP-0011044,10.203,=,2.89,5.68
ASAP-0011043,25.979,=,2.881,5.05
ASAP-0011042,99.5,>,,4.99
ASAP-0011041,1.281,=,1.265,6.23
ASAP-0011040,99.5,>,,5.42
ASAP-0011040,20.517,=,2.371,5.42
ASAP-0011039,99.5,>,,4.17
ASAP-0011038,2.014,=,2.499,6.24
ASAP-0011038,2.669,=,3.119,6.24
ASAP-0011036,99.5,>,,4.34
ASAP-0011034,0.642,=,2.97,6.79
ASAP-0011034,0.953,=,2.707,6.79
ASAP-0011031,0.731,=,3.055,6.76
ASAP-0011031,0.666,=,2.446,6.76
ASAP-0011026,99.5,>,,4.96
ASAP-0011017,6.598,=,4.295,5.58
ASAP-0010940,44.987,=,3.284,4.76
ASAP-0010910,99.5,>,,3.43
ASAP-0010758,99.5,>,,4.3
ASAP-0010757,15.257,=,2.712,5.29
ASAP-0010756,99.5,>,,3.81
ASAP-0010755,99.5,>,,4.52
ASAP-0010754,31.119,=,2.802,4.75
ASAP-0010753,84.464,=,1.294,4.67
ASAP-0010753,24.169,=,0.96,4.67
ASAP-0010753,6.423,=,0.56,4.67
ASAP-0010752,1.09,=,2.392,6.69
ASAP-0010752,1.221,=,2.789,6.69
ASAP-0010752,0.539,=,2.347,6.69
ASAP-0010751,99.5,>,,5.05
ASAP-0010750,17.435,=,2.172,5.41
ASAP-0010748,99.5,>,,4.89
ASAP-0010748,99.5,>,,4.89
ASAP-0010748,99.5,>,,4.89
ASAP-0010746,45.257,=,2.85,4.94
ASAP-0010743,0.542,=,2.433,6.88
ASAP-0010743,0.732,=,2.277,6.88
ASAP-0010743,0.242,=,2.215,6.88
ASAP-0010742,24.383,=,2.282,5.42
ASAP-0010740,99.5,>,,5.49
ASAP-0010740,23,=,2.684,5.49
ASAP-0010740,15.791,=,2.074,5.49
ASAP-0010738,6.83,=,2.889,5.92
ASAP-0010736,14.606,=,2.384,5.42
ASAP-0010736,17.595,=,2.593,5.42
ASAP-0010735,99.5,>,1.121,5.03
ASAP-0010734,11.409,=,1.805,5.89
ASAP-0010734,16.785,=,1.604,5.89
ASAP-0010726,80.025,=,0.5,5.09
ASAP-0010726,5.901,=,2.743,5.09
ASAP-0010725,22.615,=,2.709,5.28
ASAP-0010725,23.829,=,2.756,5.28
ASAP-0010724,99.5,>,,4.77
ASAP-0010724,96.49,=,2.142,4.77
ASAP-0010724,5.341,=,0.948,4.77
ASAP-0010724,4.672,=,1.509,4.77
ASAP-0010722,22.599,=,3.093,5.06
ASAP-0010722,27.022,=,4.141,5.06
ASAP-0010721,87.909,=,1.413,4.79
ASAP-0010721,33.872,=,0.605,4.79
ASAP-0010721,9.968,=,0.5,4.79
