Molecule Name,IC50 (uM),Hill
ASAP-0008627,37.523,3.163
ASAP-0008609,79.71,3.423
ASAP-0008606,21.754,3.306
ASAP-0008605,30.311,3.046
ASAP-0008599,64.677,3.326
ASAP-0008595,19.857,2.92
ASAP-0008588,94.275,4.153
ASAP-0008502,5.355,2.165
ASAP-0008493,95.02,4.168
ASAP-0008492,90.17,4.008
ASAP-0008489,5.961,2.703
ASAP-0008488,15.745,2.492
ASAP-0008479,3.233,2.637
ASAP-0008475,58.487,1.856
ASAP-0008466,48.613,3.218
ASAP-0008452,19.541,2.698
ASAP-0008451,10.975,2.954
ASAP-0008442,28.266,3.437
ASAP-0008439,46.052,3.578
ASAP-0008433,39.187,2.913
ASAP-0008427,22.723,1.839
ASAP-0008420,9.419,2.952
ASAP-0008411,18.896,2.901
ASAP-0008409,38.648,2.6
ASAP-0008408,36.47,2.684
ASAP-0008405,22.997,3.14
ASAP-0008404,31.231,3.282
ASAP-0008401,12.084,2.095
ASAP-0008393,18.213,2.699
ASAP-0008392,40.962,3.166
ASAP-0008388,24.598,2.77
ASAP-0008374,10.004,3.231
ASAP-0008373,21.392,3.425
ASAP-0008364,25.016,3.604
ASAP-0008359,10.005,2.11
ASAP-0008331,92.852,2.354
ASAP-0008330,19.598,2.833
ASAP-0008315,12.535,1.941
ASAP-0008314,10.102,3.062
ASAP-0008285,21.568,3.478
ASAP-0008259,2.662,2.496
ASAP-0008259,1.92,2.948
ASAP-0008258,1.993,2.518
ASAP-0008258,1.522,3.066
ASAP-0000801,24.22,3.013
ASAP-0000775,6.941,3.333
ASAP-0000774,6.188,4.411
ASAP-0000773,27.752,4.053
ASAP-0000738,6.672,4.048
ASAP-0000734,16.186,2.809
ASAP-0000733,0.917,3.216
ASAP-0000733,1.243,2.675
ASAP-0000654,0.995,3.16
ASAP-0000654,1.865,3.394
ASAP-0000652,28.679,3.136
ASAP-0000651,36.678,3.401
ASAP-0000580,6.161,4.057
ASAP-0000577,26.483,2.446
ASAP-0000573,87.979,1.639
ASAP-0000542,70.31,3.141
ASAP-0000541,8.077,3.094
ASAP-0000528,8.58,3.142
ASAP-0000526,6.192,3.022
ASAP-0000523,18.271,3.014
ASAP-0000492,70.88,2.057
ASAP-0000447,97.469,2.434
ASAP-0000437,38.351,3.184
ASAP-0000375,1.208,2.667
ASAP-0000375,2.509,4.082
ASAP-0000374,8.219,3.691
ASAP-0000373,2.669,5.041
ASAP-0000372,3.354,2.215
ASAP-0000272,1.173,2.822
ASAP-0000272,2.531,3.303
ASAP-0000227,7.709,3.274
ASAP-0000226,21.204,3.497
ASAP-0000223,6.847,4.726
ASAP-0000222,6.11,5.364
ASAP-0000221,10.721,3.379
ASAP-0000220,6.608,4.974
ASAP-0000219,19.388,2.194
ASAP-0000217,6.552,4.801
ASAP-0000216,5.391,3.77
ASAP-0000215,7.612,2.249
ASAP-0000214,16.046,3.465
ASAP-0000212,6.692,2.798
ASAP-0000211,5.857,2.92
ASAP-0000208,8.476,3.446
ASAP-0000207,9.044,3.691
ASAP-0000205,6.226,5.361
ASAP-0000185,37.979,3.75
ASAP-0000175,1.936,3.539
ASAP-0000173,15.791,1.161
ASAP-0000171,40.502,1.711
ASAP-0000156,38.082,2.227
ASAP-0000153,2.124,1.965
ASAP-0000153,1.403,2.052
ASAP-0000153,4.862,1.855
ASAP-0000153,3.232,2.017
ASAP-0000153,2.464,1.799
ASAP-0000153,2.214,2.584
ASAP-0000153,2.467,25.153
ASAP-0000153,2.758,2.47
ASAP-0000153,1.72,2.305
ASAP-0000153,1.545,2.233
ASAP-0000153,1.58,2.365
ASAP-0000153,1.531,2.492
ASAP-0000153,2,2.52
ASAP-0000153,2.456,2.972
ASAP-0000153,1.298,2.311
ASAP-0000153,1.274,2.08
ASAP-0000153,1.366,2.196
ASAP-0000153,1.039,2.047
ASAP-0000153,2.012,2.333
ASAP-0000153,2.386,2.455
ASAP-0000153,5.503,1.892
ASAP-0000153,2.199,2.715
ASAP-0000153,2.281,2.669
ASAP-0000153,2.416,3.144
ASAP-0000153,2.631,2.879
ASAP-0000153,1.917,2.712
ASAP-0000153,2.382,2.961
ASAP-0000153,2.716,3.775
ASAP-0000153,2.341,2.811
ASAP-0000153,3.985,2.035
ASAP-0000153,1.424,2.587
ASAP-0000153,1.49,1.851
ASAP-0000153,1.949,2.652
ASAP-0000153,1.564,2.312
ASAP-0000153,1.653,2.097
ASAP-0000153,0.918,2.291
ASAP-0000153,1.492,2.584
ASAP-0000153,1.937,2.667
ASAP-0000153,2.185,2.836
ASAP-0000153,2.776,2.389
ASAP-0000153,1.227,2.34
ASAP-0000153,2.39,2.52
ASAP-0000153,1.716,2.432
ASAP-0000153,2.062,2.519
ASAP-0000153,3.847,2.056
ASAP-0000153,2.248,2.426
ASAP-0000153,4.673,2.104
ASAP-0000153,5.272,2.072
ASAP-0000153,2.101,2.667
ASAP-0000153,2.659,2.375
ASAP-0000153,2.762,2.29
ASAP-0000153,3.075,2.689
ASAP-0000153,1.929,2.517
ASAP-0000153,2.202,2.302
ASAP-0000153,6.362,2.722
ASAP-0000153,5.43,2.912
ASAP-0000153,3.183,2.242
ASAP-0000153,2.388,3.307
ASAP-0000153,3.624,2.241
ASAP-0000153,2.037,3
