Experiment,Cell,Molecule Name,IC50 (uM),Hill,PGP,Hour_after
Mavda,TMPRSS2,ASAP-0000272,1.26,-14.8,1,48
Mavda,TMPRSS2,ASAP-0000227,12.6,-9.07,1,48
Mavda,TMPRSS2,ASAP-0000227,12,,1,48
Mavda,TMPRSS2,ASAP-0000223,14.2,-2.2,1,48
Mavda,TMPRSS2,ASAP-0000223,17.3,-1.41,1,48
Mavda,TMPRSS2,ASAP-0000222,12,,1,48
Mavda,TMPRSS2,ASAP-0000222,25.6,-0.921,1,48
Mavda,TMPRSS2,ASAP-0000221,15.3,-1.4,1,48
Mavda,TMPRSS2,ASAP-0000221,12.9,-2.1,1,48
Mavda,TMPRSS2,ASAP-0000220,5.37,-2.28,1,48
Mavda,TMPRSS2,ASAP-0000220,4.77,-2.48,1,48
Mavda,TMPRSS2,ASAP-0000219,14.8,-3.2,1,48
Mavda,TMPRSS2,ASAP-0000219,19.1,-1.58,1,48
Mavda,TMPRSS2,ASAP-0000217,13.4,-10.6,1,48
Mavda,TMPRSS2,ASAP-0000217,11.8,-13.1,1,48
Mavda,TMPRSS2,ASAP-0000216,9.02,-4.94,1,48
Mavda,TMPRSS2,ASAP-0000216,8.5,-2.71,1,48
Mavda,TMPRSS2,ASAP-0000215,7.38,-2.4,1,48
Mavda,TMPRSS2,ASAP-0000215,8.73,-2.86,1,48
Mavda,TMPRSS2,ASAP-0000214,36,-1.16,1,48
Mavda,TMPRSS2,ASAP-0000212,14.5,-5.11,1,48
Mavda,TMPRSS2,ASAP-0000212,36,-1.44,1,48
Mavda,TMPRSS2,ASAP-0000211,8.58,-4.19,1,48
Mavda,TMPRSS2,ASAP-0000211,7.93,-3.24,1,48
Mavda,TMPRSS2,ASAP-0000208,5,,1,48
Mavda,TMPRSS2,ASAP-0000208,8.16,-2.39,1,48
Mavda,TMPRSS2,ASAP-0000207,6.62,-3.14,1,48
Mavda,TMPRSS2,ASAP-0000207,7.38,-3.72,1,48
Mavda,TMPRSS2,ASAP-0000205,7.49,-4.68,1,48
Mavda,TMPRSS2,ASAP-0000205,7.6,-3.36,1,48
Mavda,TMPRSS2,ASAP-0000171,11.1,-4.98,1,48
Mavda,TMPRSS2,ASAP-0000171,11.9,-8.33,1,48
Mavda,TMPRSS2,ASAP-0000170,36,,1,48
Mavda,TMPRSS2,ASAP-0000169,17.8,-1.48,1,48
Mavda,TMPRSS2,ASAP-0000168,7.39,-5.09,1,48
Mavda,TMPRSS2,ASAP-0000168,7.66,-3.63,1,48
Mavda,TMPRSS2,ASAP-0000167,6.57,-4.24,1,48
Mavda,TMPRSS2,ASAP-0000167,4.96,-7,1,48
Mavda,TMPRSS2,ASAP-0000165,36,-9.87,1,48
Mavda,TMPRSS2,ASAP-0000164,14.7,-1.74,1,48
Mavda,TMPRSS2,ASAP-0000164,15.2,-1.62,1,48
Mavda,TMPRSS2,ASAP-0000163,20.9,-1.51,1,48
Mavda,TMPRSS2,ASAP-0000163,9.91,-1.99,1,48
Mavda,TMPRSS2,ASAP-0000161,5.07,-5.52,1,48
Mavda,TMPRSS2,ASAP-0000161,6.07,-3.07,1,48
Mavda,TMPRSS2,ASAP-0000160,6.84,-3.87,1,48
Mavda,TMPRSS2,ASAP-0000160,8.48,-5.15,1,48
Mavda,TMPRSS2,ASAP-0000159,14.4,-1.89,1,48
Mavda,TMPRSS2,ASAP-0000159,11.3,-3.82,1,48
Mavda,TMPRSS2,ASAP-0000158,6.71,-3.24,1,48
Mavda,TMPRSS2,ASAP-0000158,6.85,-3.37,1,48
Mavda,TMPRSS2,ASAP-0000157,9.04,-5.12,1,48
Mavda,TMPRSS2,ASAP-0000157,8.86,-2.68,1,48
Mavda,TMPRSS2,ASAP-0000156,7.27,-2.57,1,48
Mavda,TMPRSS2,ASAP-0000156,13.7,-1.99,1,48
Mavda,TMPRSS2,ASAP-0000155,36,-1.53,1,48
Mavda,TMPRSS2,ASAP-0000153,1.43,-8.57,1,48
Mavda,TMPRSS2,ASAP-0000153,1.51,-7.63,1,48
Mavda,TMPRSS2,ASAP-0000146,36,,1,48
Mavda,TMPRSS2,ASAP-0000144,6,-7.16,1,48
Mavda,TMPRSS2,ASAP-0000144,4.73,-21.3,1,48
