Experiment,Cell,Molecule Name,IC50 (Num) (uM),IC50 (Mod),Hill (Num),PGP,Hour_after,IC90 (Num) (uM),IC90 (Mod)
Mavda,TMPRSS2,ASAP-0013894,1.35,=,-11.6,1,48,,
Mavda,TMPRSS2,ASAP-0013894,1.31,=,-15.2,1,48,,
Mavda,TMPRSS2,ASAP-0013892,12.5,=,-1.88,1,48,,
Mavda,TMPRSS2,ASAP-0013892,6.28,=,-2.52,1,48,,
Mavda,TMPRSS2,ASAP-0013891,1.29,=,,1,48,,
Mavda,TMPRSS2,ASAP-0013891,0.986,=,-5.67,1,48,,
Mavda,TMPRSS2,ASAP-0013890,0.783,=,-3.74,1,48,,
Mavda,TMPRSS2,ASAP-0013890,0.621,=,-3.38,1,48,,
Mavda,TMPRSS2,ASAP-0013731,2.22,=,-3.79,1,48,,
Mavda,TMPRSS2,ASAP-0013731,2.32,=,-3.4,1,48,,
Mavda,TMPRSS2,ASAP-0013722,0.145,=,-2.42,1,48,,
Mavda,TMPRSS2,ASAP-0013722,0.187,=,-3.32,1,48,,
Mavda,TMPRSS2,ASAP-0013722,0.246,=,-2.19,1,48,,
Mavda,TMPRSS2,ASAP-0013721,4.37,=,-2.35,1,48,,
Mavda,TMPRSS2,ASAP-0013721,5.1,=,-2.88,1,48,,
Mavda,TMPRSS2,ASAP-0013720,2.85,=,-5.27,1,48,,
Mavda,TMPRSS2,ASAP-0013720,2.78,=,-2.78,1,48,,
Mavda,TMPRSS2,ASAP-0013719,2.87,=,-3.16,1,48,,
Mavda,TMPRSS2,ASAP-0013719,3.92,=,-2.65,1,48,,
Mavda,TMPRSS2,ASAP-0013646,36,>,,1,48,,
Mavda,TMPRSS2,ASAP-0013646,36,>,,1,48,,
Mavda,TMPRSS2,ASAP-0013423,1.32,=,-13.9,1,48,,
Mavda,TMPRSS2,ASAP-0013423,1.93,=,-3.43,1,48,,
Mavda,TMPRSS2,ASAP-0013414,0.185,=,-2.6,1,48,,
Mavda,TMPRSS2,ASAP-0013414,0.35,=,-2.11,1,48,,
Mavda,TMPRSS2,ASAP-0013414,0.362,=,-5.36,1,48,,
Mavda,TMPRSS2,ASAP-0013413,1.15,=,-4.49,1,48,,
Mavda,TMPRSS2,ASAP-0013413,1.33,=,-17.4,1,48,,
Mavda,TMPRSS2,ASAP-0013412,2.31,=,-8.31,1,48,,
Mavda,TMPRSS2,ASAP-0013412,3.06,=,-24.8,1,48,,
Mavda,TMPRSS2,ASAP-0013407,1.15,=,-15.6,1,48,,
Mavda,TMPRSS2,ASAP-0013407,1.37,=,-12.7,1,48,,
Mavda,TMPRSS2,ASAP-0013405,1.37,=,-17.1,1,48,,
Mavda,TMPRSS2,ASAP-0013405,2.01,=,-3.8,1,48,,
Mavda,TMPRSS2,ASAP-0013398,0.315,=,-2.23,1,48,,
Mavda,TMPRSS2,ASAP-0013398,0.676,=,-3.21,1,48,,
Mavda,TMPRSS2,ASAP-0013398,0.877,=,-3.1,1,48,,
Mavda,TMPRSS2,ASAP-0013397,1.08,=,-5.39,1,48,,
Mavda,TMPRSS2,ASAP-0013397,1.22,=,-10.2,1,48,,
Mavda,TMPRSS2,ASAP-0013307,1.25,=,-13.3,1,48,,
Mavda,TMPRSS2,ASAP-0013307,1.27,=,-14.8,1,48,,
Mavda,TMPRSS2,ASAP-0013305,2.83,=,-3.27,1,48,,
Mavda,TMPRSS2,ASAP-0013305,3.06,=,-2.49,1,48,,
Mavda,TMPRSS2,ASAP-0013301,1.29,=,-8.04,1,48,,
Mavda,TMPRSS2,ASAP-0013301,1.33,=,-11,1,48,,
Mavda,TMPRSS2,ASAP-0013300,1.48,=,-3.8,1,48,,
Mavda,TMPRSS2,ASAP-0013300,2.97,=,-4.1,1,48,,
Mavda,TMPRSS2,ASAP-0013299,0.055,=,-2.61,1,48,,
Mavda,TMPRSS2,ASAP-0013299,0.09,=,-3.36,1,48,,
Mavda,TMPRSS2,ASAP-0013299,0.095,=,-2.78,1,48,,
Mavda,TMPRSS2,ASAP-0013298,0.197,=,-2.7,1,48,,
Mavda,TMPRSS2,ASAP-0013298,0.492,=,-3.23,1,48,,
Mavda,TMPRSS2,ASAP-0013298,0.706,=,-5.33,1,48,,
