Experiment,Cell,Molecule Name,IC50 (uM),Hill,PGP,Hour_after
Mavda,TMPRSS2,ASAP-0011124,1.4,4.22,1,72
Mavda,TMPRSS2,ASAP-0011059,1.3,3.62,1,72
Mavda,TMPRSS2,ASAP-0011059,1.43,2.72,1,72
Mavda,TMPRSS2,ASAP-0011049,1.35,18.6,1,72
Mavda,TMPRSS2,ASAP-0011049,1.4,11.6,1,72
Mavda,TMPRSS2,ASAP-0011034,1.56,13.6,1,72
Mavda,TMPRSS2,ASAP-0011034,1.47,13.8,1,72
Mavda,TMPRSS2,ASAP-0010743,1.25,12.2,1,72
Mavda,TMPRSS2,ASAP-0010743,1.24,12.5,1,72
Mavda,TMPRSS2,ASAP-0010738,4.23,2.84,1,72
Mavda,TMPRSS2,ASAP-0010738,4.18,13.6,1,72
Mavda,TMPRSS2,ASAP-0010712,4.03,16.8,1,72
Mavda,TMPRSS2,ASAP-0010712,3.7,2.24,1,72
Mavda,TMPRSS2,ASAP-0010711,2.26,2.63,1,72
Mavda,TMPRSS2,ASAP-0010711,2.46,2.42,1,72
Mavda,TMPRSS2,ASAP-0008675,3.12,2.64,1,72
Mavda,TMPRSS2,ASAP-0008675,3.74,3.2,1,72
Mavda,TMPRSS2,ASAP-0008672,2.74,3.06,1,72
Mavda,TMPRSS2,ASAP-0008672,2.69,3.5,1,72
Mavda,TMPRSS2,ASAP-0008669,2.38,2.56,1,72
Mavda,TMPRSS2,ASAP-0008669,3.53,3.28,1,72
Mavda,TMPRSS2,ASAP-0008665,1.43,12.4,1,72
Mavda,TMPRSS2,ASAP-0008665,1.39,19.5,1,72
Mavda,TMPRSS2,ASAP-0008653,4.19,11.9,1,72
Mavda,TMPRSS2,ASAP-0008653,4.13,11.5,1,72
Mavda,TMPRSS2,ASAP-0008642,4.79,11.3,1,72
Mavda,TMPRSS2,ASAP-0008642,7.65,6.46,1,72
Mavda,TMPRSS2,ASAP-0008639,2.86,2.4,1,72
Mavda,TMPRSS2,ASAP-0008639,3.96,2.46,1,72
Mavda,TMPRSS2,ASAP-0008502,1.88,2.84,1,72
Mavda,TMPRSS2,ASAP-0008502,2.44,2.62,1,72
Mavda,TMPRSS2,ASAP-0008489,4,4.74,1,72
Mavda,TMPRSS2,ASAP-0008489,4.09,13.2,1,72
Mavda,TMPRSS2,ASAP-0008479,4.21,12.6,1,72
Mavda,TMPRSS2,ASAP-0008479,4.04,16.8,1,72
Mavda,TMPRSS2,ASAP-0008452,7.06,2.48,1,72
Mavda,TMPRSS2,ASAP-0008452,7.14,2.38,1,72
Mavda,TMPRSS2,ASAP-0008451,4.23,12.6,1,72
Mavda,TMPRSS2,ASAP-0008451,4.21,15.5,1,72
Mavda,TMPRSS2,ASAP-0008420,1.33,19.5,1,72
Mavda,TMPRSS2,ASAP-0008420,1.33,16.4,1,72
Mavda,TMPRSS2,ASAP-0008411,4.15,11.8,1,72
Mavda,TMPRSS2,ASAP-0008411,4.15,14.7,1,72
Mavda,TMPRSS2,ASAP-0008330,3.84,4.71,1,72
Mavda,TMPRSS2,ASAP-0008330,3.86,3.42,1,72
Mavda,TMPRSS2,ASAP-0008314,1.99,3.31,1,72
Mavda,TMPRSS2,ASAP-0008314,1.91,3.95,1,72
Mavda,TMPRSS2,ASAP-0008258,4.05,3.98,1,72
Mavda,TMPRSS2,ASAP-0008258,4.28,14.3,1,72
Mavda,TMPRSS2,ASAP-0000774,0.706,1.85,1,72
Mavda,TMPRSS2,ASAP-0000774,0.932,,1,72
Mavda,TMPRSS2,ASAP-0000738,1.19,3.61,1,72
Mavda,TMPRSS2,ASAP-0000738,1.25,8.87,1,72
Mavda,TMPRSS2,ASAP-0000734,3.34,2.68,1,72
Mavda,TMPRSS2,ASAP-0000734,3.56,3.81,1,72
Mavda,TMPRSS2,ASAP-0000733,0.253,2.63,1,72
Mavda,TMPRSS2,ASAP-0000733,0.216,3.18,1,72
Mavda,TMPRSS2,ASAP-0000733,0.279,1.55,1,72
Mavda,TMPRSS2,ASAP-0000733,0.253,1.36,1,72
Mavda,TMPRSS2,ASAP-0000580,3.44,2.64,1,72
Mavda,TMPRSS2,ASAP-0000580,3.5,2.75,1,72
Mavda,TMPRSS2,ASAP-0000541,1.8,4.19,1,72
Mavda,TMPRSS2,ASAP-0000541,1.41,16.1,1,72
Mavda,TMPRSS2,ASAP-0000528,5.44,2.54,1,72
Mavda,TMPRSS2,ASAP-0000528,5.71,3.17,1,72
Mavda,TMPRSS2,ASAP-0000526,1.27,12.1,1,72
Mavda,TMPRSS2,ASAP-0000526,1.33,,1,72
Mavda,TMPRSS2,ASAP-0000523,4.27,14.6,1,72
Mavda,TMPRSS2,ASAP-0000523,4.12,17.7,1,72
Mavda,TMPRSS2,ASAP-0000375,1.25,14.8,1,72
Mavda,TMPRSS2,ASAP-0000375,1.25,13.9,1,72
Mavda,TMPRSS2,ASAP-0000374,1.34,17.6,1,72
Mavda,TMPRSS2,ASAP-0000374,1.3,13.1,1,72
Mavda,TMPRSS2,ASAP-0000373,1.3,15.1,1,72
Mavda,TMPRSS2,ASAP-0000373,1.28,16.5,1,72
Mavda,TMPRSS2,ASAP-0000372,1.29,13.4,1,72
Mavda,TMPRSS2,ASAP-0000372,1.31,,1,72
Mavda,TMPRSS2,ASAP-0000370,0.051,14.1,1,72
Mavda,TMPRSS2,ASAP-0000370,0.052,15.8,1,72
Mavda,TMPRSS2,ASAP-0000370,0.051,17.2,1,72
Mavda,TMPRSS2,ASAP-0000370,0.051,17.7,1,72
Mavda,TMPRSS2,ASAP-0000272,0.501,13.2,1,72
Mavda,TMPRSS2,ASAP-0000272,0.707,5.44,1,72
Mavda,TMPRSS2,ASAP-0000227,4.34,14.9,1,72
Mavda,TMPRSS2,ASAP-0000227,4.32,13.1,1,72
Mavda,TMPRSS2,ASAP-0000223,10.6,11,1,72
Mavda,TMPRSS2,ASAP-0000223,4.62,28.4,1,72
Mavda,TMPRSS2,ASAP-0000222,9.67,4.98,1,72
Mavda,TMPRSS2,ASAP-0000222,7.47,4.05,1,72
Mavda,TMPRSS2,ASAP-0000221,4.16,14.3,1,72
Mavda,TMPRSS2,ASAP-0000221,4.1,2.04,1,72
Mavda,TMPRSS2,ASAP-0000220,4.36,17.8,1,72
Mavda,TMPRSS2,ASAP-0000220,4.14,12.9,1,72
Mavda,TMPRSS2,ASAP-0000219,7.25,2.99,1,72
Mavda,TMPRSS2,ASAP-0000219,6.34,3.36,1,72
Mavda,TMPRSS2,ASAP-0000217,7.5,5.26,1,72
Mavda,TMPRSS2,ASAP-0000217,6.92,4.73,1,72
Mavda,TMPRSS2,ASAP-0000216,4.31,1.86,1,72
Mavda,TMPRSS2,ASAP-0000216,2.79,3.86,1,72
Mavda,TMPRSS2,ASAP-0000215,4.25,13,1,72
Mavda,TMPRSS2,ASAP-0000215,4.21,12.9,1,72
Mavda,TMPRSS2,ASAP-0000214,9.98,1.5,1,72
Mavda,TMPRSS2,ASAP-0000214,8.76,2.28,1,72
Mavda,TMPRSS2,ASAP-0000212,14.6,2.76,1,72
