Molecule Name,pIC50,hill
ASAP-0008331,4.25,2.354
ASAP-0008330,5.42,2.833
ASAP-0008315,5.05,1.941
ASAP-0008314,5.69,3.062
ASAP-0008285,4.86,3.478
ASAP-0008259,6.34,2.496
ASAP-0008259,6.34,2.948
ASAP-0008258,6.39,2.518
ASAP-0008258,6.39,3.066
ASAP-0000801,5.25,3.013
ASAP-0000775,6.02,3.333
ASAP-0000774,5.88,4.411
ASAP-0000773,5.08,4.053
ASAP-0000738,5.98,4.048
ASAP-0000734,5.35,2.809
ASAP-0000733,6.69,3.216
ASAP-0000733,6.69,2.675
ASAP-0000654,6.6,3.16
ASAP-0000654,6.6,3.394
ASAP-0000652,5.12,3.136
ASAP-0000651,5.02,3.401
ASAP-0000580,5.87,4.057
ASAP-0000577,5.4,2.446
ASAP-0000573,4.32,1.639
ASAP-0000542,4.74,3.141
ASAP-0000541,5.81,3.094
ASAP-0000528,5.8,3.142
ASAP-0000526,5.98,3.022
ASAP-0000523,5.36,3.014
ASAP-0000492,4.25,2.057
ASAP-0000447,4.85,2.434
ASAP-0000437,5.01,3.184
ASAP-0000375,6.39,2.667
ASAP-0000375,6.39,4.082
ASAP-0000374,5.88,3.691
ASAP-0000373,6.22,5.041
ASAP-0000372,5.76,2.215
ASAP-0000272,6.47,2.822
ASAP-0000272,6.47,3.303
ASAP-0000227,5.8,3.274
ASAP-0000226,5.45,3.497
ASAP-0000223,5.79,4.726
ASAP-0000222,5.96,5.364
ASAP-0000221,5.67,3.379
ASAP-0000220,5.87,4.974
ASAP-0000219,5.64,2.194
ASAP-0000217,5.78,4.801
ASAP-0000216,6.04,3.77
ASAP-0000215,6.03,2.249
ASAP-0000214,5.28,3.465
ASAP-0000212,6.04,2.798
ASAP-0000211,5.99,2.92
ASAP-0000208,5.65,3.446
ASAP-0000207,5.72,3.691
ASAP-0000205,5.95,5.361
ASAP-0000185,5.02,3.75
ASAP-0000175,5.52,3.539
ASAP-0000173,5.18,1.161
ASAP-0000171,5.04,1.711
ASAP-0000156,5.05,2.227
ASAP-0000153,6.5,1.965
ASAP-0000153,6.5,2.052
ASAP-0000153,6.5,1.855
ASAP-0000153,6.5,2.017
ASAP-0000153,6.5,1.799
ASAP-0000153,6.5,2.584
ASAP-0000153,6.5,25.153
ASAP-0000153,6.5,2.47
ASAP-0000153,6.5,2.305
ASAP-0000153,6.5,2.233
ASAP-0000153,6.5,2.365
ASAP-0000153,6.5,2.492
ASAP-0000153,6.5,2.52
ASAP-0000153,6.5,2.972
ASAP-0000153,6.5,2.311
ASAP-0000153,6.5,2.08
ASAP-0000153,6.5,2.196
ASAP-0000153,6.5,2.047
ASAP-0000153,6.5,2.333
ASAP-0000153,6.5,2.455
ASAP-0000153,6.5,1.892
ASAP-0000153,6.5,2.715
ASAP-0000153,6.5,2.669
ASAP-0000153,6.5,3.144
ASAP-0000153,6.5,2.879
ASAP-0000153,6.5,2.712
ASAP-0000153,6.5,2.961
ASAP-0000153,6.5,3.775
ASAP-0000153,6.5,2.811
ASAP-0000153,6.5,2.035
ASAP-0000153,6.5,2.587
ASAP-0000153,6.5,1.851
ASAP-0000153,6.5,2.652
ASAP-0000153,6.5,2.312
ASAP-0000153,6.5,2.097
ASAP-0000153,6.5,2.291
ASAP-0000153,6.5,2.584
ASAP-0000153,6.5,2.667
ASAP-0000153,6.5,2.836
ASAP-0000153,6.5,2.389
ASAP-0000153,6.5,2.34
ASAP-0000153,6.5,2.52
ASAP-0000153,6.5,2.432
ASAP-0000153,6.5,2.519
ASAP-0000153,6.5,2.056
ASAP-0000153,6.5,2.426
ASAP-0000153,6.5,2.104
ASAP-0000153,6.5,2.072
